"","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"88","ABCD_1701",88,"gift-7.wav","K","G","K","z",1.36879706383,242.596313953
"89","ABCD_1701",89,"gift-6.wav","K","G","K","z",1.41147589684,244.266207933
"90","ABCD_1701",90,"gift-4.wav","K","G","G","m",1.87667798996,246.402889013
"91","ABCD_1701",91,"gift-2.wav","K","G","G","m",1.42719316483,248.088919878
"92","ABCD_1701",92,"dath-2.wav","T","D","D","m",1.68839001656,251.077209949
"93","ABCD_1701",93,"dath-7.wav","T","D","T","z",1.24678301811,252.579540014
"94","ABCD_1701",94,"dath-5.wav","T","D","T","z",1.24742794037,254.082180023
"95","ABCD_1701",95,"dath-6.wav","T","D","T","z",1.35238409042,255.701320887
"96","ABCD_1701",96,"dath-3.wav","T","D","D","m",1.25248599052,257.220772982
"97","ABCD_1701",97,"dath-4.wav","T","D","D","m",1.77188301086,259.257503986
"98","ABCD_1701",98,"dath-1.wav","T","D","D","m",1.50995588303,261.026942015
"99","ABCD_1701",99,"gith-2.wav","G","K","G","z",2.22399497032,264.549717903
"100","ABCD_1701",100,"gith-5.wav","G","K","K","m",1.43929195404,266.252259016
"101","ABCD_1701",101,"gith-1.wav","G","K","G","z",1.64795804024,268.155483961
"102","ABCD_1701",102,"gith-3.wav","G","K","G","z",1.2800450325,269.691128969
"103","ABCD_1701",103,"gith-6.wav","G","K","K","m",1.56730699539,271.51086688
"104","ABCD_1701",104,"gith-4.wav","G","K","K","m",1.59474802017,273.364248991
"105","ABCD_1701",105,"gith-7.wav","G","K","K","m",1.24425911903,274.866555929
"106","ABCD_1701",106,"dash-4.wav","D","T","T","m",1.49803519249,277.654318094
"107","ABCD_1701",107,"dash-6.wav","D","T","T","m",1.152780056,279.073581934
"108","ABCD_1701",108,"dash-7.wav","D","T","T","m",1.15233302116,280.492377043
"109","ABCD_1701",109,"dash-3.wav","D","T","D","z",1.15198707581,281.911405087
"110","ABCD_1701",110,"dash-1.wav","D","T","D","z",1.23717284203,283.414099932
"111","ABCD_1701",111,"dash-5.wav","D","T","T","m",1.37339019775,285.049949884
"112","ABCD_1701",112,"dash-2.wav","D","T","D","z",1.68061280251,286.986564875
"113","ABCD_1701",113,"giss-4.wav","G","K","K","m",1.94737887383,290.225287914
"114","ABCD_1701",114,"giss-7.wav","G","K","K","m",1.36669301987,291.844264984
"115","ABCD_1701",115,"giss-3.wav","G","K","G","z",1.45137500763,293.564071894
"116","ABCD_1701",116,"giss-5.wav","G","K","G","z",1.57853889465,295.40069294
"117","ABCD_1701",117,"giss-6.wav","G","K","K","m",1.30894684792,296.969686985
"118","ABCD_1701",118,"giss-1.wav","G","K","G","z",1.35557794571,298.588908911
"119","ABCD_1701",119,"giss-2.wav","G","K","G","z",1.3752720356,300.225296021
"120","ABCD_1701",120,"dask-7.wav","T","D","T","z",1.95019888878,303.464037895
