"",".id","PartID","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"104","1_PhonWords_2016_Aug_07_1342.txt","5166",1,104,"gith-6.wav","K","G","K","z",1.36140937046,317.384137645
"105","1_PhonWords_2016_Aug_07_1342.txt","5166",1,105,"gith-4.wav","K","G","K","z",1.49260762804,319.142826191
"106","1_PhonWords_2016_Aug_07_1342.txt","5166",1,106,"dath-6.wav","T","D","","",0,326.815180058
"107","1_PhonWords_2016_Aug_07_1342.txt","5166",1,107,"dath-2.wav","T","D","D","m",3.85324233509,330.936004744
"108","1_PhonWords_2016_Aug_07_1342.txt","5166",1,108,"dath-5.wav","T","D","","",0,337.573774337
"109","1_PhonWords_2016_Aug_07_1342.txt","5166",1,109,"dath-4.wav","T","D","","",0,344.212401076
"110","1_PhonWords_2016_Aug_07_1342.txt","5166",1,110,"dath-7.wav","T","D","D","m",2.17534646992,346.642766134
"111","1_PhonWords_2016_Aug_07_1342.txt","5166",1,111,"dath-3.wav","T","D","D","m",3.16102013821,350.056540166
"112","1_PhonWords_2016_Aug_07_1342.txt","5166",1,112,"dath-1.wav","T","D","D","m",1.81103610281,352.125558951
"113","1_PhonWords_2016_Aug_07_1342.txt","5166",1,113,"gift-5.wav","K","G","K","z",1.77140625356,355.194531743
"114","1_PhonWords_2016_Aug_07_1342.txt","5166",1,114,"gift-6.wav","K","G","G","m",6.23267384314,361.694541626
"115","1_PhonWords_2016_Aug_07_1342.txt","5166",1,115,"gift-2.wav","K","G","G","m",2.30851939699,364.263526961
"116","1_PhonWords_2016_Aug_07_1342.txt","5166",1,116,"gift-1.wav","K","G","G","m",1.65951946541,366.178251268
"117","1_PhonWords_2016_Aug_07_1342.txt","5166",1,117,"gift-3.wav","K","G","G","m",1.28872214747,367.729010347
"118","1_PhonWords_2016_Aug_07_1342.txt","5166",1,118,"gift-7.wav","K","G","K","z",1.72197147657,369.711829392
"119","1_PhonWords_2016_Aug_07_1342.txt","5166",1,119,"gift-4.wav","K","G","G","m",1.87501843532,371.849779917
"120","1_PhonWords_2016_Aug_07_1342.txt","5166",1,120,"dash-5.wav","D","T","T","m",2.50245322751,375.642811367
"121","1_PhonWords_2016_Aug_07_1342.txt","5166",1,121,"dash-4.wav","D","T","T","m",2.08783649204,377.987630093
"122","1_PhonWords_2016_Aug_07_1342.txt","5166",1,122,"dash-1.wav","D","T","D","z",1.83097855422,380.073790301
"123","1_PhonWords_2016_Aug_07_1342.txt","5166",1,123,"dash-6.wav","D","T","T","m",1.41666134513,381.746214108
"124","1_PhonWords_2016_Aug_07_1342.txt","5166",1,124,"dash-2.wav","D","T","D","z",1.84016884469,383.849709596
"125","1_PhonWords_2016_Aug_07_1342.txt","5166",1,125,"dash-3.wav","D","T","D","z",1.69658243437,385.797939046
"126","1_PhonWords_2016_Aug_07_1342.txt","5166",1,126,"dash-7.wav","D","T","T","m",1.8363810523,387.902232384
"127","1_PhonWords_2016_Aug_21_1042.txt","5039",1,1,"gift-1.wav","G","K","G","z",1.86607078375,629.422220744
"128","1_PhonWords_2016_Aug_21_1042.txt","5039",1,2,"gift-3.wav","G","K","G","z",2.0565737809,631.802067788
"129","1_PhonWords_2016_Aug_21_1042.txt","5039",1,3,"gift-7.wav","G","K","K","m",2.86871101515,634.922785205
