PartID,Subject,trialNum,cond,soundfile,leftprompt,rightprompt,response,correct,keyResp,keyRT,Time
4745,3,59,1-n,kick-chick-1-n.wav,stim2_1,stim2_2,kick,1,z,5.999095709,437.5852038
4745,3,60,1-i,cub-tub-1-i.wav,stim29_2,stim29_1,cub,0,m,4.486718253,442.3203421
5174,3,1,2-i,trash-crash-2-i.wav,stim44_2,stim44_1,crash,1,m,5.54237636,114.4337565
5174,3,2,2-i,bank-tank-2-i.wav,stim32_1,stim32_2,bank,1,z,4.10175116,118.7837212
5174,3,3,1-c,bite-kite-1-c.wav,stim35_2,stim35_1,kite,1,m,6.352710669,125.3847043
5174,3,4,2-n,grip-drip-2-n.wav,stim56_1,stim56_2,grip,0,z,3.055405811,128.6887144
5174,3,5,2-i,pie-tie-2-i.wav,stim7_2,stim7_1,pie,0,z,4.826588859,133.7637799
5174,3,6,2-i,bees-peas-2-i.wav,stim1_2,stim1_1,bees,1,m,4.362472446,138.3747285
5174,3,7,1-i,cars-bars-1-i.wav,stim17_2,stim17_1,bars,1,z,4.408178819,143.031747
5174,3,8,2-n,pig-dig-2-n.wav,stim40_1,stim40_2,dig,1,m,2.392431724,145.6727488
5174,3,9,1-c,toes-bows-1-c.wav,stim4_2,stim4_1,bows,0,z,3.603176407,149.524753
5174,3,10,1-c,cone-bone-1-c.wav,stim10_1,stim10_2,bone,0,m,4.665568383,154.4387721
5174,3,11,1-i,lips-chips-1-i.wav,stim64_1,stim64_2,lips,1,z,4.354781545,159.0417912
5174,3,12,2-i,book-cook-2-i.wav,stim25_1,stim25_2,cook,0,m,4.267742042,163.5578779
5174,3,13,2-n,rake-cake-2-n.wav,stim46_2,stim46_1,rake,0,m,2.578699172,166.3847921
5174,3,14,1-n,beach-peach-1-n.wav,stim8_1,stim8_2,beach,1,z,3.266876516,169.8997834
5174,3,15,1-i,clock-block-1-i.wav,stim42_1,stim42_2,block,0,z,3.702718329,173.8508042
5174,3,16,1-i,cub-tub-1-i.wav,stim29_2,stim29_1,cub,0,m,4.553614891,178.6528235
5174,3,17,1-n,buns-guns-1-n.wav,stim26_1,stim26_2,guns,0,m,4.620275197,183.5218318
5174,3,18,2-c,toy-boy-2-c.wav,stim31_1,stim31_2,boy,0,z,4.079891788,187.8498467
5174,3,19,1-n,kick-chick-1-n.wav,stim2_2,stim2_1,kick,1,m,3.705468853,191.8039301
5174,3,20,2-n,rail-jail-2-n.wav,stim27_2,stim27_1,jail,1,z,3.363760282,195.4158758
5174,3,21,1-n,box-chalks-1-n.wav,stim14_2,stim14_1,box,1,m,3.185763413,198.8499634
5174,3,22,2-c,blue-glue-2-c.wav,stim59_1,stim59_2,glue,0,z,4.12839544,203.2270882
5174,3,23,1-n,pen-den-1-n.wav,stim33_2,stim33_1,den,0,m,3.108958172,206.5849251
5174,3,24,2-i,pot-cot-2-i.wav,stim19_2,stim19_1,cot,0,z,3.410222326,210.2439061
5174,3,25,1-n,tool-pool-1-n.wav,stim39_1,stim39_2,pool,0,m,2.97866595,213.4709486
5174,3,26,2-n,coats-goats-2-n.wav,stim21_2,stim21_1,goats,1,z,3.078004129,216.7979376
5174,3,27,2-n,ghost-toast-2-n.wav,stim3_2,stim3_1,ghost,0,m,3.135087775,220.1819512
5174,3,28,1-n,tube-cube-1-n.wav,stim61_2,stim61_1,tube,0,z,3.658030288,224.0890298
5174,3,29,1-n,king-ring-1-n.wav,stim45_1,stim45_2,king,0,m,2.860286205,227.1980522
5174,3,30,2-n,jet-pet-2-n.wav,stim34_2,stim34_1,pet,1,z,3.430149184,230.8769878
5174,3,31,2-c,cart-tart-2-c.wav,stim6_2,stim6_1,cart,0,m,4.017408205,235.1429786
5174,3,32,2-c,drain-brain-2-c.wav,stim43_2,stim43_1,brain,1,z,3.392432865,238.7839915
5174,3,33,2-i,robe-globe-2-i.wav,stim53_2,stim53_1,robe,1,m,3.270249672,242.3030378
5174,3,34,2-i,bug-rug-2-i.wav,stim13_1,stim13_2,bug,0,z,3.492533178,246.0440122
5174,3,35,1-i,bow-cow-1-i.wav,stim5_2,stim5_1,bow,0,m,3.498802822,249.7910267
5174,3,36,2-c,cord-board-2-c.wav,stim50_2,stim50_1,board,1,z,3.502895159,253.5420407
5174,3,37,2-n,cape-tape-2-n.wav,stim62_1,stim62_2,cape,1,m,2.748962947,256.5400504
5174,3,38,1-i,gown-town-1-i.wav,stim58_1,stim58_2,gown,0,z,4.03762053,260.8260768
5174,3,39,1-c,peak-beak-1-c.wav,stim22_1,stim22_2,beak,0,m,4.466862376,265.5410748
5174,3,40,2-n,puck-duck-2-n.wav,stim15_1,stim15_2,duck,0,z,3.068315334,268.8580621
5174,3,41,2-c,brown-crown-2-c.wav,stim24_1,stim24_2,crown,1,m,4.343212693,273.4500814
5174,3,42,1-c,pear-bear-1-c.wav,stim16_2,stim16_1,bear,0,z,3.630493114,277.3291263
5174,3,43,1-i,date-gate-1-i.wav,stim36_2,stim36_1,gate,1,z,4.724145507,282.3021137
5174,3,44,1-c,pole-goal-1-c.wav,stim28_1,stim28_2,pole,0,m,3.57478397,286.1252013
